item_purchased,category,purchase_amount_usd,location,size,color,season,discount_applied,promo_code_used,payment_method,created_at,updated_at
Socks,Clothing,36,Tennessee,XL,Black,Fall,No,No,Cash,2025-02-04 21:37:20,2025-02-04 21:37:20
Belt,Accessories,65,Tennessee,M,Purple,Winter,No,No,Credit Card,2025-03-13 00:16:43,2025-03-13 00:16:43
Shorts,Clothing,74,Tennessee,XL,White,Spring,Yes,Yes,Venmo,2025-01-30 21:04:27,2025-01-30 21:04:27
Sneakers,Footwear,33,Tennessee,L,Cyan,Spring,Yes,Yes,Cash,2025-04-13 06:35:41,2025-04-13 06:35:41
Shirt,Clothing,87,Tennessee,L,Charcoal,Winter,No,No,Debit Card,2025-04-25 21:16:35,2025-04-25 21:16:35
Sandals,Footwear,57,Tennessee,M,Yellow,Winter,No,No,Venmo,2025-02-02 12:58:26,2025-02-02 12:58:26
Boots,Footwear,28,Tennessee,M,Maroon,Spring,No,No,Debit Card,2025-04-24 09:21:05,2025-04-24 09:21:05
Coat,Outerwear,100,Tennessee,L,Red,Fall,No,No,Bank Transfer,2025-04-09 23:55:39,2025-04-09 23:55:39
Shoes,Footwear,84,Tennessee,XL,Purple,Fall,No,No,Cash,2025-03-03 15:57:33,2025-03-03 15:57:33
Shirt,Clothing,31,Tennessee,L,Teal,Spring,Yes,Yes,Cash,2025-04-22 03:26:30,2025-04-22 03:26:30
T-shirt,Clothing,35,Tennessee,M,Violet,Spring,No,No,Cash,2025-02-26 00:47:47,2025-02-26 00:47:47
Coat,Outerwear,48,Tennessee,M,Violet,Winter,Yes,Yes,Cash,2025-03-08 04:50:44,2025-03-08 04:50:44
Dress,Clothing,82,Tennessee,L,Cyan,Spring,Yes,Yes,Venmo,2025-02-08 01:58:36,2025-02-08 01:58:36
Belt,Accessories,29,Tennessee,L,Blue,Fall,Yes,Yes,Credit Card,2025-03-30 11:30:30,2025-03-30 11:30:30
Socks,Clothing,90,Tennessee,L,Gray,Fall,No,No,Venmo,2025-02-02 01:05:07,2025-02-02 01:05:07
Handbag,Accessories,24,Tennessee,S,Cyan,Spring,No,No,Cash,2025-03-15 00:05:15,2025-03-15 00:05:15
Skirt,Clothing,90,Tennessee,L,Peach,Winter,Yes,Yes,PayPal,2025-04-01 20:11:18,2025-04-01 20:11:18
Jacket,Outerwear,22,Tennessee,L,Teal,Fall,Yes,Yes,Venmo,2025-04-14 06:13:45,2025-04-14 06:13:45
Dress,Clothing,33,Tennessee,XL,Magenta,Winter,No,No,Credit Card,2025-02-12 20:54:02,2025-02-12 20:54:02
Backpack,Accessories,36,Tennessee,M,Purple,Spring,Yes,Yes,Credit Card,2025-04-08 05:15:29,2025-04-08 05:15:29
Sneakers,Footwear,41,Tennessee,M,Cyan,Summer,Yes,Yes,PayPal,2025-04-05 01:39:52,2025-04-05 01:39:52
Blouse,Clothing,73,Tennessee,XL,Silver,Fall,No,No,Bank Transfer,2025-03-21 17:17:23,2025-03-21 17:17:23
Coat,Outerwear,70,Tennessee,S,Pink,Fall,No,No,Debit Card,2025-03-23 23:25:29,2025-03-23 23:25:29
Blouse,Clothing,84,Tennessee,M,Peach,Spring,No,No,PayPal,2025-02-07 14:13:50,2025-02-07 14:13:50
Hoodie,Clothing,98,Tennessee,S,Teal,Spring,Yes,Yes,PayPal,2025-03-25 09:35:39,2025-03-25 09:35:39
Handbag,Accessories,95,Tennessee,L,Turquoise,Winter,Yes,Yes,Venmo,2025-03-05 16:53:01,2025-03-05 16:53:01
Pants,Clothing,36,Tennessee,M,Maroon,Fall,No,No,Credit Card,2025-04-18 10:17:03,2025-04-18 10:17:03
Hat,Accessories,20,Tennessee,S,Blue,Summer,Yes,Yes,Credit Card,2025-02-27 13:09:27,2025-02-27 13:09:27
Gloves,Accessories,91,Tennessee,M,Teal,Summer,No,No,Venmo,2025-03-23 06:02:45,2025-03-23 06:02:45
Sandals,Footwear,39,Tennessee,L,Gray,Summer,Yes,Yes,Venmo,2025-03-09 18:08:41,2025-03-09 18:08:41
Shirt,Clothing,30,Tennessee,L,Beige,Fall,Yes,Yes,Venmo,2025-04-19 05:01:36,2025-04-19 05:01:36
Sweater,Clothing,85,Tennessee,L,Orange,Summer,Yes,Yes,Credit Card,2025-02-22 05:22:59,2025-02-22 05:22:59
Jeans,Clothing,96,Tennessee,XL,Beige,Spring,No,No,Venmo,2025-02-06 11:18:41,2025-02-06 11:18:41
Belt,Accessories,84,Tennessee,S,Olive,Fall,Yes,Yes,Venmo,2025-04-07 17:31:29,2025-04-07 17:31:29
Scarf,Accessories,33,Tennessee,M,Peach,Fall,No,No,Cash,2025-03-08 12:37:15,2025-03-08 12:37:15
Belt,Accessories,83,Tennessee,M,Gray,Fall,No,No,Debit Card,2025-03-24 09:02:26,2025-03-24 09:02:26
Sweater,Clothing,72,Tennessee,M,Yellow,Fall,No,No,PayPal,2025-02-01 18:09:06,2025-02-01 18:09:06
Backpack,Accessories,73,Tennessee,L,Gold,Summer,Yes,Yes,Venmo,2025-04-26 00:46:56,2025-04-26 00:46:56
Scarf,Accessories,89,Tennessee,M,Brown,Winter,No,No,PayPal,2025-04-19 07:57:19,2025-04-19 07:57:19
Hoodie,Clothing,67,Tennessee,M,Pink,Winter,No,No,Venmo,2025-03-27 12:06:28,2025-03-27 12:06:28
Gloves,Accessories,73,Tennessee,S,Gold,Spring,Yes,Yes,Venmo,2025-01-31 21:56:40,2025-01-31 21:56:40
Sweater,Clothing,43,Tennessee,S,Maroon,Fall,No,No,Debit Card,2025-03-05 09:13:42,2025-03-05 09:13:42
Skirt,Clothing,75,Tennessee,L,Olive,Summer,No,No,Debit Card,2025-04-28 10:23:56,2025-04-28 10:23:56
Belt,Accessories,73,Tennessee,M,Blue,Spring,No,No,Cash,2025-04-01 16:10:10,2025-04-01 16:10:10
Dress,Clothing,67,Tennessee,XL,Olive,Summer,Yes,Yes,Cash,2025-02-13 20:45:00,2025-02-13 20:45:00
Jewelry,Accessories,57,Tennessee,M,Indigo,Spring,No,No,Debit Card,2025-03-12 19:36:20,2025-03-12 19:36:20
Sunglasses,Accessories,24,Tennessee,L,Violet,Summer,Yes,Yes,Cash,2025-04-27 08:21:50,2025-04-27 08:21:50
Gloves,Accessories,97,Tennessee,M,Gold,Spring,No,No,Cash,2025-03-19 11:36:43,2025-03-19 11:36:43
Sneakers,Footwear,60,Tennessee,M,Cyan,Fall,No,No,PayPal,2025-02-01 14:19:11,2025-02-01 14:19:11
Sunglasses,Accessories,37,Tennessee,L,Maroon,Fall,No,No,Venmo,2025-03-27 03:15:54,2025-03-27 03:15:54
Jewelry,Accessories,82,Tennessee,S,Brown,Summer,No,No,PayPal,2025-02-23 18:44:01,2025-02-23 18:44:01
Coat,Outerwear,20,Tennessee,M,Gold,Winter,No,No,Debit Card,2025-02-08 06:35:08,2025-02-08 06:35:08
Scarf,Accessories,34,Tennessee,M,Olive,Winter,Yes,Yes,Credit Card,2025-03-07 15:03:23,2025-03-07 15:03:23
Blouse,Clothing,41,Tennessee,L,Pink,Summer,No,No,PayPal,2025-03-21 15:01:42,2025-03-21 15:01:42
Jacket,Outerwear,23,Tennessee,M,Teal,Summer,No,No,PayPal,2025-01-31 21:58:05,2025-01-31 21:58:05
Shirt,Clothing,94,Tennessee,XL,Gold,Fall,No,No,PayPal,2025-03-21 16:09:33,2025-03-21 16:09:33
Shoes,Footwear,68,Tennessee,L,Violet,Fall,Yes,Yes,PayPal,2025-03-17 08:51:53,2025-03-17 08:51:53
Sandals,Footwear,61,Tennessee,M,Silver,Summer,Yes,Yes,Credit Card,2025-04-11 19:13:31,2025-04-11 19:13:31
Sunglasses,Accessories,24,Tennessee,M,Teal,Spring,Yes,Yes,PayPal,2025-03-09 11:37:16,2025-03-09 11:37:16
Blouse,Clothing,26,Tennessee,M,Blue,Spring,Yes,Yes,Bank Transfer,2025-03-21 04:04:36,2025-03-21 04:04:36
Scarf,Accessories,32,Tennessee,M,Silver,Spring,Yes,Yes,Debit Card,2025-04-07 03:10:31,2025-04-07 03:10:31
Sandals,Footwear,35,Tennessee,M,Lavender,Summer,No,No,PayPal,2025-04-21 02:06:54,2025-04-21 02:06:54
Backpack,Accessories,88,Tennessee,L,Black,Spring,No,No,Credit Card,2025-03-05 13:40:18,2025-03-05 13:40:18
Shirt,Clothing,86,Tennessee,S,Indigo,Fall,Yes,Yes,Debit Card,2025-03-25 12:06:14,2025-03-25 12:06:14
Dress,Clothing,32,Tennessee,M,Beige,Fall,Yes,Yes,Cash,2025-04-02 20:50:31,2025-04-02 20:50:31
Blouse,Clothing,67,Tennessee,L,Black,Fall,No,No,Cash,2025-02-03 06:35:54,2025-02-03 06:35:54
Jacket,Outerwear,49,Tennessee,XL,Lavender,Fall,Yes,Yes,PayPal,2025-04-12 10:01:08,2025-04-12 10:01:08
Skirt,Clothing,100,Tennessee,L,Gold,Winter,Yes,Yes,Bank Transfer,2025-03-05 08:02:56,2025-03-05 08:02:56
Boots,Footwear,23,Tennessee,L,Teal,Winter,Yes,Yes,Cash,2025-03-31 16:13:23,2025-03-31 16:13:23
Jewelry,Accessories,67,Tennessee,M,Violet,Summer,Yes,Yes,Bank Transfer,2025-03-13 19:29:59,2025-03-13 19:29:59
Skirt,Clothing,36,Tennessee,M,Gray,Fall,No,No,Credit Card,2025-04-03 13:31:38,2025-04-03 13:31:38
Shirt,Clothing,62,Tennessee,M,Pink,Winter,Yes,Yes,Cash,2025-04-05 13:00:28,2025-04-05 13:00:28
Socks,Clothing,55,Tennessee,S,Pink,Spring,No,No,Debit Card,2025-02-16 14:46:44,2025-02-16 14:46:44
Dress,Clothing,44,Tennessee,M,Yellow,Fall,No,No,Bank Transfer,2025-03-30 22:48:40,2025-03-30 22:48:40
Hat,Accessories,90,Tennessee,L,Olive,Summer,Yes,Yes,Venmo,2025-04-16 23:11:04,2025-04-16 23:11:04
Sunglasses,Accessories,36,Tennessee,S,Gray,Spring,Yes,Yes,Venmo,2025-02-20 13:46:00,2025-02-20 13:46:00
Scarf,Accessories,35,Tennessee,M,Orange,Winter,No,No,Bank Transfer,2025-04-08 14:05:43,2025-04-08 14:05:43
Sweater,Clothing,23,Tennessee,M,Beige,Winter,No,No,Credit Card,2025-03-28 09:36:20,2025-03-28 09:36:20
Handbag,Accessories,28,Tennessee,L,Maroon,Summer,No,No,PayPal,2025-04-26 07:17:39,2025-04-26 07:17:39
Dress,Clothing,40,Tennessee,XL,Cyan,Spring,Yes,Yes,Credit Card,2025-02-22 19:02:58,2025-02-22 19:02:58
Shirt,Clothing,46,Tennessee,L,Turquoise,Spring,Yes,Yes,Venmo,2025-02-13 06:15:46,2025-02-13 06:15:46
Scarf,Accessories,38,Tennessee,M,Silver,Winter,No,No,Credit Card,2025-02-27 11:02:47,2025-02-27 11:02:47
Sandals,Footwear,32,Tennessee,L,Cyan,Fall,No,No,Cash,2025-02-22 14:06:36,2025-02-22 14:06:36
Socks,Clothing,39,Tennessee,L,Black,Fall,No,No,Debit Card,2025-04-08 11:10:44,2025-04-08 11:10:44
Dress,Clothing,94,Tennessee,M,Teal,Summer,No,No,Debit Card,2025-04-06 07:57:36,2025-04-06 07:57:36
Belt,Accessories,82,Tennessee,M,Violet,Fall,No,No,Credit Card,2025-03-31 15:01:36,2025-03-31 15:01:36
Jeans,Clothing,73,Tennessee,XL,Yellow,Winter,No,No,Credit Card,2025-02-18 20:20:22,2025-02-18 20:20:22
Gloves,Accessories,93,Tennessee,L,Teal,Fall,No,No,Cash,2025-04-17 21:49:05,2025-04-17 21:49:05
Belt,Accessories,36,Tennessee,S,Teal,Summer,No,No,Venmo,2025-04-26 10:24:54,2025-04-26 10:24:54
Blouse,Clothing,68,Tennessee,XL,Violet,Spring,No,No,Debit Card,2025-03-19 04:54:51,2025-03-19 04:54:51
Backpack,Accessories,20,Tennessee,M,Olive,Spring,No,No,Credit Card,2025-03-29 19:10:22,2025-03-29 19:10:22
Sweater,Clothing,32,Tennessee,M,White,Winter,Yes,Yes,Venmo,2025-03-16 10:10:17,2025-03-16 10:10:17
Handbag,Accessories,88,Tennessee,L,Turquoise,Fall,No,No,Cash,2025-02-24 21:22:41,2025-02-24 21:22:41
Boots,Footwear,79,Tennessee,XL,Teal,Spring,Yes,Yes,Venmo,2025-02-25 02:58:11,2025-02-25 02:58:11
Gloves,Accessories,72,Tennessee,M,Magenta,Winter,No,No,Bank Transfer,2025-02-27 13:51:07,2025-02-27 13:51:07
Shoes,Footwear,35,Tennessee,L,Yellow,Winter,Yes,Yes,PayPal,2025-02-16 13:13:20,2025-02-16 13:13:20
Blouse,Clothing,33,Tennessee,L,Charcoal,Summer,Yes,Yes,Credit Card,2025-04-21 12:25:49,2025-04-21 12:25:49
Pants,Clothing,63,Tennessee,M,Gold,Summer,No,No,Bank Transfer,2025-04-17 14:27:31,2025-04-17 14:27:31
T-shirt,Clothing,94,Tennessee,M,Peach,Fall,Yes,Yes,Bank Transfer,2025-03-12 21:51:23,2025-03-12 21:51:23
Sneakers,Footwear,64,Tennessee,M,Charcoal,Fall,Yes,Yes,Cash,2025-03-04 10:04:22,2025-03-04 10:04:22
Backpack,Accessories,29,Tennessee,S,Olive,Fall,Yes,Yes,Cash,2025-04-24 20:38:50,2025-04-24 20:38:50
Hat,Accessories,79,Tennessee,M,Indigo,Summer,No,No,Venmo,2025-02-19 09:16:53,2025-02-19 09:16:53
Shoes,Footwear,96,Tennessee,L,Maroon,Summer,Yes,Yes,PayPal,2025-03-21 04:16:27,2025-03-21 04:16:27
Shirt,Clothing,22,Tennessee,S,Silver,Fall,No,No,Cash,2025-02-04 06:50:19,2025-02-04 06:50:19
Coat,Outerwear,20,Tennessee,M,Blue,Spring,No,No,Debit Card,2025-02-16 13:58:57,2025-02-16 13:58:57
Jewelry,Accessories,42,Tennessee,XL,Magenta,Fall,Yes,Yes,Credit Card,2025-03-25 17:16:16,2025-03-25 17:16:16
Scarf,Accessories,59,Tennessee,L,Orange,Fall,No,No,Credit Card,2025-03-30 22:49:54,2025-03-30 22:49:54
Coat,Outerwear,56,Tennessee,S,Violet,Fall,No,No,Debit Card,2025-03-23 15:32:49,2025-03-23 15:32:49
Hat,Accessories,42,Tennessee,M,Pink,Summer,No,No,Venmo,2025-04-18 14:38:48,2025-04-18 14:38:48
Sneakers,Footwear,47,Tennessee,M,Red,Summer,Yes,Yes,PayPal,2025-04-29 17:56:20,2025-04-29 17:56:20
Shorts,Clothing,52,Tennessee,L,Turquoise,Spring,Yes,Yes,Credit Card,2025-04-09 02:21:17,2025-04-09 02:21:17
Socks,Clothing,38,Tennessee,XL,Orange,Fall,No,No,Debit Card,2025-03-13 05:18:37,2025-03-13 05:18:37
Pants,Clothing,93,Tennessee,L,Orange,Spring,Yes,Yes,Credit Card,2025-04-15 09:38:31,2025-04-15 09:38:31
Dress,Clothing,32,Tennessee,L,Silver,Winter,No,No,Cash,2025-02-10 05:05:36,2025-02-10 05:05:36
Shoes,Footwear,97,Tennessee,M,Maroon,Winter,No,No,PayPal,2025-04-01 20:21:31,2025-04-01 20:21:31
Socks,Clothing,54,Tennessee,S,Peach,Spring,Yes,Yes,Credit Card,2025-03-18 00:16:06,2025-03-18 00:16:06
Handbag,Accessories,33,Tennessee,S,Olive,Fall,No,No,PayPal,2025-02-15 09:37:17,2025-02-15 09:37:17
Jewelry,Accessories,52,Tennessee,XL,Maroon,Winter,Yes,Yes,Venmo,2025-04-27 21:44:27,2025-04-27 21:44:27
Backpack,Accessories,61,Tennessee,M,Silver,Spring,Yes,Yes,Debit Card,2025-03-01 19:51:48,2025-03-01 19:51:48
Hat,Accessories,48,Tennessee,M,Magenta,Winter,No,No,Cash,2025-03-26 17:52:34,2025-03-26 17:52:34
Sneakers,Footwear,49,Tennessee,M,Olive,Summer,No,No,Venmo,2025-04-19 10:03:43,2025-04-19 10:03:43
Handbag,Accessories,63,Tennessee,M,Gold,Summer,No,No,Cash,2025-03-16 23:07:06,2025-03-16 23:07:06
Jewelry,Accessories,48,Tennessee,XL,Indigo,Spring,Yes,Yes,Debit Card,2025-02-09 17:45:35,2025-02-09 17:45:35
Dress,Clothing,96,Tennessee,M,Green,Winter,Yes,Yes,Credit Card,2025-04-14 00:50:05,2025-04-14 00:50:05
Sneakers,Footwear,83,Tennessee,S,Pink,Winter,Yes,Yes,Bank Transfer,2025-03-03 03:45:56,2025-03-03 03:45:56
Hoodie,Clothing,53,Tennessee,M,Red,Fall,No,No,Bank Transfer,2025-04-28 19:37:06,2025-04-28 19:37:06
Hoodie,Clothing,57,Tennessee,M,Magenta,Summer,No,No,Venmo,2025-04-19 21:21:22,2025-04-19 21:21:22
Shirt,Clothing,28,Tennessee,M,Turquoise,Spring,Yes,Yes,Cash,2025-04-17 03:46:27,2025-04-17 03:46:27
Shorts,Clothing,46,Tennessee,M,Teal,Summer,Yes,Yes,Cash,2025-03-03 10:19:40,2025-03-03 10:19:40
Backpack,Accessories,63,Tennessee,L,Pink,Winter,No,No,Credit Card,2025-04-08 11:49:13,2025-04-08 11:49:13
Pants,Clothing,82,Tennessee,XL,Black,Winter,No,No,Cash,2025-04-29 02:39:41,2025-04-29 02:39:41
Scarf,Accessories,69,Tennessee,S,Peach,Spring,No,No,Venmo,2025-03-18 17:30:20,2025-03-18 17:30:20
Gloves,Accessories,74,Tennessee,S,Lavender,Spring,Yes,Yes,Venmo,2025-03-13 17:29:16,2025-03-13 17:29:16
Socks,Clothing,100,Tennessee,M,Silver,Spring,Yes,Yes,Credit Card,2025-01-31 16:50:26,2025-01-31 16:50:26
Sweater,Clothing,70,Tennessee,S,Magenta,Summer,No,No,PayPal,2025-04-03 08:55:01,2025-04-03 08:55:01
Backpack,Accessories,97,Tennessee,S,Gold,Fall,No,No,Debit Card,2025-04-17 14:37:49,2025-04-17 14:37:49
T-shirt,Clothing,36,Tennessee,XL,Maroon,Fall,No,No,Credit Card,2025-02-21 15:26:14,2025-02-21 15:26:14
Coat,Outerwear,95,Tennessee,S,Blue,Summer,Yes,Yes,Venmo,2025-02-27 17:18:54,2025-02-27 17:18:54
Hat,Accessories,79,Tennessee,M,Purple,Summer,No,No,Venmo,2025-03-16 10:08:20,2025-03-16 10:08:20
Handbag,Accessories,41,Tennessee,XL,Charcoal,Summer,Yes,Yes,Bank Transfer,2025-02-05 20:47:53,2025-02-05 20:47:53
Scarf,Accessories,23,Tennessee,XL,Violet,Spring,Yes,Yes,Bank Transfer,2025-02-07 10:42:55,2025-02-07 10:42:55
Shorts,Clothing,82,Tennessee,M,Orange,Fall,No,No,PayPal,2025-03-09 06:21:19,2025-03-09 06:21:19
Sandals,Footwear,95,Tennessee,M,Turquoise,Fall,Yes,Yes,PayPal,2025-02-22 21:08:56,2025-02-22 21:08:56
Boots,Footwear,55,Tennessee,M,Charcoal,Summer,No,No,Debit Card,2025-03-07 21:48:42,2025-03-07 21:48:42
Backpack,Accessories,73,Tennessee,XL,Brown,Summer,Yes,Yes,PayPal,2025-03-12 06:11:50,2025-03-12 06:11:50
Hoodie,Clothing,88,Tennessee,M,Beige,Spring,No,No,Venmo,2025-04-28 04:57:05,2025-04-28 04:57:05
Coat,Outerwear,28,Tennessee,XL,Olive,Winter,Yes,Yes,PayPal,2025-04-25 07:50:02,2025-04-25 07:50:02
Jacket,Outerwear,23,Tennessee,S,Maroon,Spring,Yes,Yes,Bank Transfer,2025-02-11 22:51:16,2025-02-11 22:51:16
Socks,Clothing,77,Tennessee,S,Olive,Spring,Yes,Yes,Cash,2025-04-19 18:40:49,2025-04-19 18:40:49
Sunglasses,Accessories,66,Tennessee,L,Blue,Winter,No,No,Bank Transfer,2025-02-06 14:20:36,2025-02-06 14:20:36
Belt,Accessories,30,Tennessee,XL,Blue,Summer,Yes,Yes,Cash,2025-03-17 01:09:43,2025-03-17 01:09:43
Sweater,Clothing,37,Tennessee,L,Brown,Summer,Yes,Yes,Credit Card,2025-02-14 03:03:31,2025-02-14 03:03:31
Scarf,Accessories,34,Tennessee,L,Orange,Fall,No,No,Bank Transfer,2025-03-04 07:08:18,2025-03-04 07:08:18
Hoodie,Clothing,57,Tennessee,M,Green,Summer,Yes,Yes,PayPal,2025-04-07 06:02:55,2025-04-07 06:02:55
Blouse,Clothing,33,Tennessee,M,Cyan,Summer,Yes,Yes,Bank Transfer,2025-03-09 13:41:04,2025-03-09 13:41:04
Scarf,Accessories,99,Tennessee,M,White,Summer,No,No,Credit Card,2025-04-12 23:23:06,2025-04-12 23:23:06
Scarf,Accessories,36,Tennessee,M,Silver,Winter,Yes,Yes,Venmo,2025-04-05 01:06:01,2025-04-05 01:06:01
Sweater,Clothing,35,Tennessee,S,Gray,Summer,Yes,Yes,PayPal,2025-04-25 04:46:03,2025-04-25 04:46:03
Hat,Accessories,25,Tennessee,XL,Magenta,Summer,Yes,Yes,Debit Card,2025-03-19 10:25:12,2025-03-19 10:25:12
Hat,Accessories,67,Tennessee,S,Purple,Fall,Yes,Yes,Debit Card,2025-04-12 13:00:52,2025-04-12 13:00:52
Backpack,Accessories,86,Tennessee,L,Silver,Spring,No,No,Venmo,2025-02-28 10:20:01,2025-02-28 10:20:01
Handbag,Accessories,61,Tennessee,XL,White,Spring,No,No,Debit Card,2025-03-02 11:38:32,2025-03-02 11:38:32
Shirt,Clothing,39,Tennessee,M,Gold,Summer,Yes,Yes,Venmo,2025-03-07 09:52:45,2025-03-07 09:52:45
Coat,Outerwear,22,Tennessee,XL,Black,Winter,Yes,Yes,Bank Transfer,2025-03-08 08:20:39,2025-03-08 08:20:39
Handbag,Accessories,32,Tennessee,M,Gold,Fall,No,No,PayPal,2025-02-08 16:06:03,2025-02-08 16:06:03
Backpack,Accessories,59,Tennessee,M,Gray,Spring,Yes,Yes,Venmo,2025-03-18 01:54:42,2025-03-18 01:54:42
Sweater,Clothing,25,Tennessee,M,Charcoal,Fall,Yes,Yes,Cash,2025-02-08 02:10:31,2025-02-08 02:10:31
Handbag,Accessories,53,Tennessee,M,Purple,Spring,Yes,Yes,PayPal,2025-04-20 10:10:25,2025-04-20 10:10:25
Shirt,Clothing,70,Tennessee,S,Blue,Spring,No,No,Credit Card,2025-02-04 22:42:00,2025-02-04 22:42:00
Belt,Accessories,73,Tennessee,M,Yellow,Winter,Yes,Yes,Cash,2025-03-11 20:04:02,2025-03-11 20:04:02
Belt,Accessories,91,Tennessee,M,Magenta,Spring,No,No,Cash,2025-02-24 23:49:54,2025-02-24 23:49:54
Socks,Clothing,91,Tennessee,M,Beige,Summer,No,No,Debit Card,2025-02-13 07:32:25,2025-02-13 07:32:25
Sandals,Footwear,39,Tennessee,M,Blue,Spring,No,No,Venmo,2025-04-10 21:28:50,2025-04-10 21:28:50
Hat,Accessories,37,Tennessee,L,Teal,Spring,No,No,Debit Card,2025-04-04 16:42:58,2025-04-04 16:42:58
Hat,Accessories,81,Tennessee,S,Orange,Fall,Yes,Yes,Debit Card,2025-02-12 12:16:43,2025-02-12 12:16:43
Shirt,Clothing,78,Tennessee,L,Black,Spring,No,No,Venmo,2025-03-28 07:19:05,2025-03-28 07:19:05
Shoes,Footwear,21,Tennessee,M,Gold,Summer,Yes,Yes,PayPal,2025-04-11 16:18:13,2025-04-11 16:18:13
Handbag,Accessories,47,Tennessee,L,Turquoise,Winter,Yes,Yes,Credit Card,2025-04-09 22:48:05,2025-04-09 22:48:05
Boots,Footwear,68,Tennessee,M,Indigo,Winter,Yes,Yes,PayPal,2025-02-07 16:24:31,2025-02-07 16:24:31
Sweater,Clothing,80,Tennessee,M,Orange,Spring,Yes,Yes,PayPal,2025-04-02 01:11:57,2025-04-02 01:11:57
Hoodie,Clothing,83,Tennessee,M,Charcoal,Spring,No,No,Bank Transfer,2025-04-04 19:04:22,2025-04-04 19:04:22
Skirt,Clothing,67,Tennessee,M,White,Winter,No,No,Cash,2025-04-17 22:35:39,2025-04-17 22:35:39
Coat,Outerwear,27,Tennessee,L,Turquoise,Winter,No,No,Credit Card,2025-03-17 02:02:41,2025-03-17 02:02:41
Dress,Clothing,98,Tennessee,S,Olive,Fall,No,No,Venmo,2025-03-12 20:40:44,2025-03-12 20:40:44
Shirt,Clothing,97,Tennessee,XL,Teal,Summer,Yes,Yes,Venmo,2025-04-27 04:51:48,2025-04-27 04:51:48
Blouse,Clothing,59,Tennessee,M,Lavender,Winter,No,No,Venmo,2025-04-12 00:50:49,2025-04-12 00:50:49
Handbag,Accessories,84,Tennessee,L,Blue,Fall,Yes,Yes,Venmo,2025-03-21 15:28:38,2025-03-21 15:28:38
Sneakers,Footwear,61,Tennessee,M,Pink,Spring,No,No,Credit Card,2025-03-01 02:58:46,2025-03-01 02:58:46
Hat,Accessories,28,Tennessee,M,Violet,Spring,Yes,Yes,Debit Card,2025-04-16 10:02:45,2025-04-16 10:02:45
Scarf,Accessories,85,Tennessee,M,Blue,Summer,Yes,Yes,Debit Card,2025-03-12 08:27:51,2025-03-12 08:27:51
Gloves,Accessories,94,Tennessee,M,Beige,Winter,No,No,Credit Card,2025-02-07 17:17:04,2025-02-07 17:17:04
T-shirt,Clothing,79,Tennessee,M,Violet,Winter,Yes,Yes,Venmo,2025-03-12 07:18:55,2025-03-12 07:18:55
Sandals,Footwear,50,Tennessee,M,Teal,Spring,Yes,Yes,Cash,2025-04-18 19:45:25,2025-04-18 19:45:25
Blouse,Clothing,38,Tennessee,L,Yellow,Summer,No,No,Bank Transfer,2025-03-11 17:01:06,2025-03-11 17:01:06
Sweater,Clothing,66,Tennessee,XL,Brown,Spring,Yes,Yes,Credit Card,2025-01-31 16:09:25,2025-01-31 16:09:25
Backpack,Accessories,35,Tennessee,S,Magenta,Spring,Yes,Yes,Cash,2025-03-26 09:22:26,2025-03-26 09:22:26
Scarf,Accessories,96,Tennessee,XL,Magenta,Fall,No,No,Bank Transfer,2025-04-29 23:10:27,2025-04-29 23:10:27
Jeans,Clothing,69,Tennessee,L,Maroon,Summer,Yes,Yes,Venmo,2025-04-13 21:37:00,2025-04-13 21:37:00
Backpack,Accessories,56,Tennessee,M,Olive,Summer,No,No,Credit Card,2025-03-26 21:47:38,2025-03-26 21:47:38
Backpack,Accessories,56,Tennessee,S,Lavender,Summer,Yes,Yes,Debit Card,2025-04-22 15:21:51,2025-04-22 15:21:51
Scarf,Accessories,99,Tennessee,L,Green,Winter,No,No,Debit Card,2025-04-13 13:42:00,2025-04-13 13:42:00
Belt,Accessories,82,Tennessee,S,Pink,Summer,No,No,Debit Card,2025-03-16 05:44:22,2025-03-16 05:44:22
Backpack,Accessories,46,Tennessee,L,Blue,Spring,No,No,Cash,2025-03-24 13:37:18,2025-03-24 13:37:18
Coat,Outerwear,20,Tennessee,M,White,Spring,No,No,Credit Card,2025-04-06 04:02:18,2025-04-06 04:02:18
Shorts,Clothing,43,Tennessee,S,Brown,Winter,Yes,Yes,PayPal,2025-04-16 12:36:40,2025-04-16 12:36:40
Scarf,Accessories,67,Tennessee,L,Gray,Summer,No,No,Cash,2025-02-04 14:46:48,2025-02-04 14:46:48
Sunglasses,Accessories,50,Tennessee,L,Indigo,Summer,Yes,Yes,Debit Card,2025-04-10 01:58:43,2025-04-10 01:58:43
Sweater,Clothing,45,Tennessee,S,Olive,Winter,No,No,Debit Card,2025-03-11 15:20:13,2025-03-11 15:20:13
Pants,Clothing,56,Tennessee,S,Turquoise,Summer,No,No,PayPal,2025-03-30 19:50:28,2025-03-30 19:50:28
T-shirt,Clothing,33,Tennessee,M,Pink,Fall,No,No,PayPal,2025-04-09 04:01:11,2025-04-09 04:01:11
Jewelry,Accessories,82,Tennessee,M,Peach,Winter,No,No,Credit Card,2025-03-19 21:57:42,2025-03-19 21:57:42
Sweater,Clothing,81,Tennessee,L,Gold,Spring,Yes,Yes,Venmo,2025-02-13 15:24:38,2025-02-13 15:24:38
